id,name,lat,lon
353,eZ Cash Communication,7.454858,80.028212
354,eZ Cash Communication,7.436347,80.045185
355,eZ Cash Communication,7.606128,80.082457
356,eZ Cash Communication,7.482772,79.966865
357,eZ Cash Communication,7.474687,80.041215
358,eZ Cash Communication,7.548166,80.143719
359,eZ Cash Communication,7.53402,80.188029
360,eZ Cash Communication,7.655788,80.126209
361,eZ Cash Communication,7.511662,80.03849
362,eZ Cash Communication,7.38113,80.037417
363,eZ Cash Communication,7.468092,80.304158
364,eZ Cash Communication,7.499579,80.190217
365,eZ Cash Communication,7.363765,80.064261
366,eZ Cash Communication,7.605979,80.100718
367,eZ Cash Communication,7.565524,80.430608
368,eZ Cash Communication,7.606255,80.080462
369,eZ Cash Communication,7.481623,80.415995
370,eZ Cash Communication,7.483495,79.983387
371,eZ Cash Communication,7.46039,80.123355
372,eZ Cash Communication,7.372341,80.034177
373,eZ Cash Communication,7.512428,80.141659
374,eZ Cash Communication,7.453241,79.950964
375,eZ Cash Communication,7.478645,80.103722
376,eZ Cash Communication,7.568587,79.969804
377,eZ Cash Communication,7.319158,80.430222
378,eZ Cash Communication,6.897989,80.591326
379,eZ Cash Communication,6.988814,80.494981
380,eZ Cash Communication,6.99778,80.408742
381,eZ Cash Communication,6.913646,80.521288
382,eZ Cash Communication,6.94334,80.539613
383,eZ Cash Communication,6.939378,80.62495
384,eZ Cash Communication,7.112987,80.796204
385,eZ Cash Communication,6.890192,80.602891
386,eZ Cash Communication,6.927364,80.686469
387,eZ Cash Communication,6.93303,80.694795
388,eZ Cash Communication,6.973457,80.767472
389,eZ Cash Communication,6.880286,80.610509
390,eZ Cash Communication,6.966642,81.41264
391,eZ Cash Communication,6.960209,80.648897
392,eZ Cash Communication,6.966599,81.403155
393,eZ Cash Communication,6.878412,80.600338
394,eZ Cash Communication,6.836954,80.613642
395,eZ Cash Communication,7.917283,80.99649
396,eZ Cash Communication,7.908463,81.112361
397,eZ Cash Communication,7.927081,81.004944
398,eZ Cash Communication,7.921938,81.183965
399,eZ Cash Communication,8.038153,81.079102
400,eZ Cash Communication,7.781113,81.184587
401,eZ Cash Communication,7.727407,81.017733
402,eZ Cash Communication,7.915753,81.008205
403,eZ Cash Communication,8.041043,80.753031
404,eZ Cash Communication,8.072742,80.68428
405,eZ Cash Communication,7.927633,80.692552
406,eZ Cash Communication,7.776989,80.818605
407,eZ Cash Communication,8.004858,80.983357
408,eZ Cash Communication,7.989814,80.998657
409,eZ Cash Communication,7.950012,80.751143
410,eZ Cash Communication,8.011105,80.990803
411,eZ Cash Communication,8.061227,80.941172
412,eZ Cash Communication,8.077246,80.951171
413,eZ Cash Communication,8.141017,80.966578
414,eZ Cash Communication,8.154229,80.982842
415,eZ Cash Communication,8.046716,80.901668
416,eZ Cash Communication,7.923999,81.038589
417,eZ Cash Communication,8.086508,80.6672
418,eZ Cash Communication,8.111385,80.951943
419,eZ Cash Communication,8.039513,80.953553
420,eZ Cash Communication,8.044867,80.953403
421,eZ Cash Communication,7.235828,81.10852
422,eZ Cash Communication,7.321436,80.992155
423,eZ Cash Communication,7.352933,80.994301
424,eZ Cash Communication,7.580668,81.032324
425,eZ Cash Communication,7.462858,81.019299
426,eZ Cash Communication,7.530808,80.914049
427,eZ Cash Communication,7.223397,81.065755
428,eZ Cash Communication,7.35089,80.952587
429,eZ Cash Communication,7.670078,81.046937
430,eZ Cash Communication,7.470049,81.01593
431,eZ Cash Communication,7.339398,80.996447
432,eZ Cash Communication,7.270993,81.067472
433,eZ Cash Communication,7.534212,80.913363
434,eZ Cash Communication,7.464262,81.009493
435,eZ Cash Communication,7.338291,80.992327
436,eZ Cash Communication,7.28917,81.020393
437,eZ Cash Communication,7.297513,81.024084
438,eZ Cash Communication,7.190485,80.947952
439,eZ Cash Communication,7.671758,81.039619
440,eZ Cash Communication,6.954629,81.032667
441,eZ Cash Communication,7.470815,80.949326
442,eZ Cash Communication,7.529383,81.353824
443,eZ Cash Communication,7.396515,81.241751
444,eZ Cash Communication,7.384343,81.229134
445,eZ Cash Communication,7.531808,81.35685
446,eZ Cash Communication,6.743288,81.018226
447,eZ Cash Communication,7.46239,81.00872
448,eZ Cash Communication,7.340079,80.991769
449,eZ Cash Communication,7.533701,81.359425
450,eZ Cash Communication,6.873768,81.047602
451,eZ Cash Communication,7.082708,81.048589
452,eZ Cash Communication,6.900013,81.063352
453,eZ Cash Communication,6.875642,81.115408
454,eZ Cash Communication,6.898905,81.058631
455,eZ Cash Communication,6.989815,81.057472
456,eZ Cash Communication,7.137686,81.048975
457,eZ Cash Communication,6.996034,80.986533
458,eZ Cash Communication,6.872489,81.050091
459,eZ Cash Communication,6.98285,81.060154
460,eZ Cash Communication,6.962722,81.030178
461,eZ Cash Communication,6.969112,81.03919
462,eZ Cash Communication,6.947046,81.019878
463,eZ Cash Communication,6.950113,81.369209
464,eZ Cash Communication,7.497962,80.700502
465,eZ Cash Communication,6.988196,81.197677
466,eZ Cash Communication,7.177882,81.003571
467,eZ Cash Communication,6.990272,81.050853
468,eZ Cash Communication,6.762125,80.889587
469,eZ Cash Communication,6.991465,81.054307
470,eZ Cash Communication,6.863286,81.102405
471,eZ Cash Communication,8.689385,80.528712
472,eZ Cash Communication,8.703723,80.515966
473,eZ Cash Communication,8.751571,80.368252
474,eZ Cash Communication,8.611403,80.470047
475,eZ Cash Communication,8.787368,80.003664
476,eZ Cash Communication,9.056837,80.658703
477,eZ Cash Communication,8.752419,80.503757
478,eZ Cash Communication,8.760902,80.457344
479,eZ Cash Communication,6.813816,79.947982
480,eZ Cash Communication,6.834067,79.914948
481,eZ Cash Communication,6.79366,80.142903
482,eZ Cash Communication,6.739836,79.976091
483,eZ Cash Communication,6.694998,80.030293
484,eZ Cash Communication,6.61646,80.102434
485,eZ Cash Communication,6.762806,80.16861
486,eZ Cash Communication,6.480602,80.128827
487,eZ Cash Communication,6.72657,80.033845
488,eZ Cash Communication,6.44861,80.074593
489,eZ Cash Communication,6.620137,79.967862
490,eZ Cash Communication,6.50463,79.981284
491,eZ Cash Communication,6.523924,79.980083
492,eZ Cash Communication,6.811941,79.919701
493,eZ Cash Communication,6.681924,79.92131
494,eZ Cash Communication,6.605568,80.236373
495,eZ Cash Communication,6.515268,80.235987
496,eZ Cash Communication,6.745248,80.177879
497,eZ Cash Communication,6.7373,79.974267
498,eZ Cash Communication,6.709639,79.931502
499,eZ Cash Communication,6.693336,79.993343
500,eZ Cash Communication,6.476082,79.984331
501,eZ Cash Communication,6.807541,79.927715
